site_name,lat,long,predator_min_length,predator_average_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling_interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Detritus,Algae,Protist_Rotifoer,Vegetation,Seeds,Microcrustaceans,Worms,Molluscs,Macrocrustaceans,Aquatic insects,Terrestrial arthropods,Fish_other,Perciformes,Clupeidae,Mugiliforms,Cypriniformes
"Lagoon Toho-Todougba, Benin, West Africa",,,22,20,22,mm,standard,,Aplocheilichthys pfaffi,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,49,51,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,36,31,46,mm,standard,,Barbus callipterus,24,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),37,0,0,6,2,1,0,1,0,25,5,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,71,60,82,mm,standard,,Brycinus longipinnis,188,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),1,0,0,1,6,0,0,1,0,39,51,1,1,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,35,13,105,mm,standard,,Chromidotilapia guntheri,20,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),58,0,0,1,12,3,0,1,0,10,0,15,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,140,179,210,mm,standard,,Chrysichthys auratus,7,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),60,0,0,0,1,1,0,9,0,30,0,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,5,69,113,mm,standard,,Hemichromis fasciatus,5,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,50.4,168,320,mm,standard,,Hepsetus odoe,21,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,1,89,0,0,0,10
"Lagoon Toho-Todougba, Benin, West Africa",,,201,206,216,mm,standard,,Parachanna obscura,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,20,21,22,mm,standard,,Pellonula sp.,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),40,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,360,408,456,mm,standard,,Protopterus annectens,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),48,0,0,0,0,0,0,51,0,1,0,1,0,0,0,0
