site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Dorosoma  cepedianum,Notropis  atherinoides,Aplodinatus  grunniens,ktalurus  punctatus,Notropis  volucellus,Lepomis  macrochirus,Lamptera  aepyptera,Morone  chrysops,Ambloplites  rupestris,Unidentifed  fsh,Invertebrates,Cl.  Insecta,Ephemeroptera,Trichoptera,Amphipoda,Odonata,Diptera,Cl.  Crustacea,Decapod
"Gallipolis Pool, Ohio River",,,,,,,,Stizostedion canadense,62,Jun-80,Jun-80,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",1,15,0,0,0,0,0,0,0,1,,,10,3,2,1,0,,3
"Gallipolis Pool, Ohio River",,,,,,,,Stizostedion canadense,55,Jul-80,Jul-80,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",0,37,2,30,0,0,0,0,0,0,,,1,3,1,0,0,,0
"Gallipolis Pool, Ohio River",,,100,300,g,wet weight,,Stizostedion canadense,70,Aug-80,Aug-80,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",12,42,73,29,2,0,0,0,0,3,,,0,0,0,0,0,,0
"Gallipolis Pool, Ohio River",,,25,300,g,wet weight,,Stizostedion canadense,47,Sep-80,Sep-80,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",14,12,0,1,1,0,0,0,0,2,,,,1,0,0,0,,0
"Gallipolis Pool, Ohio River",,,30,310,g,wet weight,,Stizostedion canadense,54,Oct-80,Oct-80,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",43,11,6,0,0,0,0,1,0,0,,,0,0,0,0,1,,0
"Gallipolis Pool, Ohio River",,,50,450,g,wet weight,,Stizostedion canadense,70,Nov-80,Nov-80,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",66,9,0,0,0,0,0,0,1,5,,,0,0,0,0,0,,0
"Gallipolis Pool, Ohio River",,,50,475,g,wet weight,,Stizostedion canadense,42,Jan-81,Jan-81,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",77,3,1,0,2,0,0,0,0,0,,,0,0,0,0,0,,0
"Gallipolis Pool, Ohio River",,,50,600,g,wet weight,,Stizostedion canadense,54,Mar-81,Mar-81,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",1,2,0,0,0,0,2,0,0,2,,,13,0,29,0,0,,0
"Gallipolis Pool, Ohio River",,,250,575,g,wet weight,,Stizostedion canadense,44,Apr-81,Apr-81,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",2,2,1,0,0,2,0,0,0,4,,,1,1,1,0,0,,0
"Gallipolis Pool, Ohio River",,,225,510,g,wet weight,,Stizostedion canadense,52,May-81,May-81,lotic,,number,total,Wahl,1985,CJAFS,"Wahi, D. H., & Nielsen, L. A. (1985). Feeding ecology of the sauger (Stizostedion canadense) in a large river. Canadian Journal of Fisheries and Aquatic Sciences, 42(1), 120-128.",tbl1,"wet weights estimated visually from Fig. 2. Dates of weights don't exactly match dates of diets, so some weights are missing",1,13,0,1,0,0,0,0,0,,,,1,0,0,0,0,,0
