site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Aquatic Insects,Coleoptera_terrestrial,Detritus,Diptera_terrestrial,Hymenoptera_terrestrial,Plant material,Sand_silt,Unidentified insects
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,29,Sep-96,Sep-96,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,2.4,,36.5,0.2,,25.4,8.9,26.5
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,33,Oct-96,Oct-96,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,5.5,19.5,26.1,13.5,,12.5,,23
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,40,Nov-96,Nov-96,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,21.7,1.6,19.1,3.4,1.1,1.9,3.8,47.4
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,32,Dec-96,Dec-96,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,3.5,9.1,15.2,9,,7.5,43.7,12
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,39,Jan-97,Jan-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,0.7,0.6,6.7,28.7,,,59.3,4.1
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,36,Feb-97,Feb-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,,0.9,8.6,11.7,,0.2,73.4,5.3
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,42,Mar-97,Mar-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,0.3,0.7,4.3,5.9,2.1,,71.5,15.2
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,45,Apr-97,Apr-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,1.3,5.8,28.8,9.2,0.5,3.6,38.2,12.6
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,59,May-97,May-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,1.5,0.9,43,2.5,1.8,5.2,34,11.1
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,54,Jun-97,Jun-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,3.1,0.3,43.3,8.6,0.9,9.5,28,6.2
"Canadian River, Quay County, New Mexico",,,,,,,,Notropis girardi,59,Jul-97,Jul-97,monthly,lotic,,weight,percent,Wilde,2001,Journal of Freshwater Ecology,"Wilde, G. R., Bonner, T. H., & Zwank, P. J. (2001). Diets of the Arkansas River shiner and peppered chub in the Canadian River, New Mexico and Texas. Journal of Freshwater Ecology, 16(3), 403-410.",tbl1,,1.1,2.8,56.7,2.1,7.7,8.8,4.1,16.7
