site_name,lat,long,predator_min_length,predator_average_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling_interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Baccilariophyceae,Chlorophyceae,Cyanophyceae,Euglenophyceae,Zignemaphyceae,Filamentous  algae,Algae  unknwon,Vegetable  materials  n/id,Sporangium  Pteridophyta,Higher  plants,Seed,Protista,Nematoda,Mollusca,Crustacea,Acarinae,Araneae,Adult  insect  terrestrial,Adult  insect  aquatic,Adult  insect  unknown,immature  insect  aquatic,immature  insect  aquatic,immature  insect  unknown,Fish,Eggs  unknown,Animal  materials  unknwon,Sand
"Mergulhao, Parana State, Brazil",,,,,,,,,Astyanax sp. ,20,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,14,13,10,0,10,1.5,0.7,3,0,13,0.7,0,0,0,0,4,0,0,0,10,7.6,1.5,7,0,0,2,2
"Mergulhao, Parana State, Brazil",,,,,,,,,Characidium lanei,17,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,5,16,2.5,0,1.2,1.2,17.3,5,0,0,0,0,2.5,0,0,6.2,0,0,0,12.3,16,1.2,11.1,0,1.2,1.2,0
"Mergulhao, Parana State, Brazil",,,,,,,,,Corydoras barbatus,10,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,6.4,10.6,3.5,0,3.5,0,0,6,2.3,3.5,0,0.5,8.2,0,0,7,0,0,0,10.6,12,1.2,4.7,0,3.5,0,10.6
"Mergulhao, Parana State, Brazil",,,,,,,,,Deuterodon langei,20,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,14,12,11,0,10,1.4,0.7,3,0.7,6,0.7,3,1.4,0,1.4,0,0,1.4,0,9,5.6,0.7,5.6,0,1.4,1.4,10
"Mergulhao, Parana State, Brazil",,,,,,,,,Hisonotus leucofrenatus,16,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,16.5,15.3,12.9,1.2,8.2,4.7,7.1,4.7,0,7.1,7.1,1.2,2.3,0,0,1.2,0,0,0,0,2.3,0,0,0,0,1.2,7.1
"Mergulhao, Parana State, Brazil",,,,,,,,,Kronichthys subteres,16,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,15,10,12,1,8,6,7,2,2,10,7,2,1,0,0,0,0,0,0,0,0,0,0,6,0,1,10
"Mergulhao, Parana State, Brazil",,,,,,,,,Microglanus sp.,10,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,12.8,10.2,10.2,0,0,0,5.2,5.2,0,2.6,0,5.2,12.8,0,0,0,0,0,0,10.2,10.2,2.6,0,10.2,0,2.6,0
"Mergulhao, Parana State, Brazil",,,,,,,,,Mimagoniates microleps,20,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,9.1,6.4,0,0,0,1,0,0,0,2.7,1,0,6.4,0,3.6,4.5,2,16.4,3,18,8.2,4.5,12.7,0,1,0,0
"Mergulhao, Parana State, Brazil",,,,,,,,,Phalloceros caudimoaculatus,20,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,24,20,0,0,21,6.1,0,7.3,0,8.5,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,2.4
"Mergulhao, Parana State, Brazil",,,,,,,,,Pimelodella pappenheimi,10,9/1/1993,3/1/1994,monthly,lotic,,number,percent,Aranha,1998,Rev. Biol. Trop,"Aranha, J. M. R., Takeuti, D. F., & Yoshimura, T. M. (1998). Habitat use and food partitioning of the fishes in a coastal stream of Atlantic Forest, Brazil. Revista de Biología Tropical, 46(4), 951-959.",tbl3,presumably average of all samples; microhabitat information available but did not parse it out,2.1,8.6,6.9,3.5,3.5,3.5,1.7,3.5,1.7,0,1.7,5.2,1.7,1.7,0,0,0,0,0,12.1,12.1,5.2,0,10.3,1.7,1.7,1.7
