record_id,site_name
0001JR1EEP3Q1YVDHY25XM3221,"Sandy Creek, Monroe County, NY"
0001JR1EEPEYE5FPY8263W2FXC,"Sandy Creek, Monroe County, NY"
0001JR1EEPCCGBA6BW6J7ETATA,"Sandy Creek, Monroe County, NY"
0001JR1EEP815CHYSZS0N7RQPY,"Sandy Creek, Monroe County, NY"
0001JR1EEPX5NMHQQ2CS44HVY3,"Great Bear Lake, Canada"
0001JR1EEPNW891XAZFAXM2B50,"Great Bear Lake, Canada"
0001JR1EEPPKZ44CM1DFST6N0S,"Great Bear Lake, Canada"
0001JR1EEPBG72H4W117CQ99Q9,"Great Bear Lake, Canada"
0001JR1EEPGNZ5CYRT3W4EATKW,"Great Bear Lake, Canada"
0001JR1EEP8D4RHFGB3T6ST02T,"Great Bear Lake, Canada"
0001JR1EEP6GHP34J9TTA3KGK1,"Great Bear Lake, Canada"
0001JR1EEP89MFMN21105AVSHN,"Great Bear Lake, Canada"
0001JR1EEP6JYX8WNSVPD2B08A,"Tuckahoe Creek, Virginia"
0001JR1EEPNZBFXV5X6WQ1C3B0,Guinea
0001JR1EEP177WC71J9H0K3M9Z,Guinea
0001JR1EEPXHGS1VW5PN8SHZ8J,"Sandy Creek, Monroe County, NY"
0001JR1EEPETH666Y1BBEHEVHM,"Sandy Creek, Monroe County, NY"
0001JR1EEPKM7AKW6K1VCBBQKT,"Sandy Creek, Monroe County, NY"
0001JR1EEPDA94M5TB5MD0VGQJ,"Sandy Creek, Monroe County, NY"
0001JR1EEPYQY7BJPG5RFA19AB,"Sandy Creek, Monroe County, NY"
0001JR1EEP53TW82NZ202RCPVK,"Sandy Creek, Monroe County, NY"
0001JR1EEPFEF6R90NSZ2QW1GZ,"Sandy Creek, Monroe County, NY"
0001JR1EEP6EA6DMDHSKR194A5,"Sandy Creek, Monroe County, NY"
0001JR1EEP60GW98W7MX2AKC33,"Sandy Creek, Monroe County, NY"
0001JR1EEPY286CNW9GZFV19W3,"Sandy Creek, Monroe County, NY"
0001JR1EEP03DZ7D6JH0PV94P2,"Sandy Creek, Monroe County, NY"
0001JR1EEPHRHGGB9KBJWC03K3,"Sandy Creek, Monroe County, NY"
0001JR1EEPTD1Y8EM2D8GT3YMT,"Sandy Creek, Monroe County, NY"
0001JR1EEPPNR9W89RR0XHMBNB,"Sandy Creek, Monroe County, NY"
0001JR1EEPZ8WMP3526MR3Q3B0,"Sandy Creek, Monroe County, NY"
0001JR1EEPHG3T72SP1AF3XZDD,"Sandy Creek, Monroe County, NY"
