author,year,journal,citation,table_figure,source_id
Lachner,1950,Journal of the Washington Academy of Sciences,"Lachner, E. A. (1950). The comparative food habits of the cyprinid fishes Nocomis biguttatus and Nocomis micropogon in western New York. Journal of the Washington Academy of Sciences, 40(7), 229-236.",tbl_3,418
Chavarie,2016,Ecology of Freshwater Fish,"Chavarie, L., Howland, K., Gallagher, C., & Tonn, W. (2016). Fatty acid signatures and stomach contents of four sympatric L ake T rout: assessment of trophic patterns among morphotypes in G reat B ear L ake. Ecology of Freshwater Fish, 25(1), 109-124.",apdx_2,109
Flemmer,1966,Chesapeake Science,"Flemer, D. A., & Woolcott, W. S. (1966). Food habits and distribution of the fishes of Tuckahoe Creek, Virginia, with special emphasis on the bluegill, Lepomis m. macrochirus Rafinesque. Chesapeake Science, 7(2), 75-89.",tbl_3,210
Romand,1985,Journal of fish biology,"Romand, R. (1985). Feeding biology of Aplocheilichthys normani, Ahl, a small Cyprinodontidae from West Africa. Journal of fish biology, 26(4), 399-410.",tbl_1,654
Mathur,1977,American Midland Naturalist,"Mathur, D. (1977). Food habits and competitive relationships of the bandfin shiner in Halawakee Creek, Alabama.�American Midland Naturalist, 89-100.",tbl_3,476
Ali,2003,Bangladesh Journal of Fisheries Research,"Ali, M. S., Rahman, M. M., Hossain, L., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.",tbl_1,21
Ali,2003,Bangladesh Journal of Fisheries Research,"Ali, M. S., Rahman, M. M., Hossain, L., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.",tbl_2,22
Ali,2003,Bangladesh Journal of Fisheries Research,"Ali, M. S., Rahman, M. M., Hossain, L., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.",tbl_3,23
Dineen,1951,The American Midland Naturalist,"Dineen, C. F. (1951). A comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.",tbl_4,167
Dineen,1951,The American Midland Naturalist,"Dineen, C. F. (1951). A comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.",tbl_5,168
Dineen,1951,The American Midland Naturalist,"Dineen, C. F. (1951). A comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.",tbl_6,169
Elakhame,2006,Tropical Freshwater Biology,"Elakhame, L. A. (2006). The distribution, feeding and reproduction of Clarioid species in Epie creek floodplain of the Niger delta, Nigeria. Tropical Freshwater Biology, 15(1), 83-94.",tbl_2,185
Hess,1941,American Journal of Epidemiology,"Hess, A. D., & Tarzwell, C. M. (1941). The feeding habits of Gambusia affinis affinis, with special reference to the malaria mosquito, Anopheles quadrimaculatus.",tbl_1c,297
Hickley,1987,NA,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",tbl_1,299
Hickley,1987,NA,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",tbl_2,300
Hickley,1987,NA,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",tbl_3,301
Hickley,1987,NA,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",tbl_4,302
