site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,diatoms,filamentous algae,unidenfied plant,Chaetopoda,Decapoda,Diplopoda,Ephemeroptera_larvae,Plecoptera_larvae,Coleoptera_larvae,Coleoptera_adult,Lepidoptera_larvae,Lepidoptera_pupae,Diptera_larvae,Diptera_adult,Hymenoptera_adult,Unidentified insect,Fish,Unidentified debris
"Oxon Run, Washington, DC, USA",,,16,44,mm,,,Semotilus bullaris,101,43485,43485,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,0,0,0,11,1,0,8,11,1,6,5,1,0,0,0,30,0,26
"Oxon Run, Washington, DC, USA",,,16,36,mm,,,Semotilus bullaris,6,43516,43516,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,0,0,8,0,0,0,0,0,0,17,0,0,0,0,0,58,0,17
"Oxon Run, Washington, DC, USA",,,24,88,mm,,,Semotilus bullaris,22,43544,43544,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,0,0,0,4,4,0,0,4,0,39,0,0,0,0,0,41,4,4
"Oxon Run, Washington, DC, USA",,,20,52,mm,,,Semotilus bullaris,24,43575,43575,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,0,0,0,0,0,4,0,0,0,24,0,0,8,4,10,50,0,0
"Oxon Run, Washington, DC, USA",,,24,48,mm,,,Semotilus bullaris,34,43605,43605,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,14,0,0,5,0,0,0,0,0,45,0,0,0,1,12,21,0,2
"Oxon Run, Washington, DC, USA",,,36,52,mm,,,Semotilus bullaris,12,43636,43636,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,0,0,9,0,0,0,0,0,0,33,0,0,0,25,0,33,0,0
"Oxon Run, Washington, DC, USA",,,44,56,mm,,,Semotilus bullaris,4,43666,43666,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,,,,,,,,,,50,0,0,0,0,0,50,0,0
"Oxon Run, Washington, DC, USA",,,20,44,mm,,,Semotilus bullaris,24,43728,43728,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,16,1,0,0,0,0,0,0,0,16,0,0,0,0,16,48,0,3
"Oxon Run, Washington, DC, USA",,,36,48,mm,,,Semotilus bullaris,2,43758,43758,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"Oxon Run, Washington, DC, USA",,,28,122,mm,,,Semotilus bullaris,2,43789,43789,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"Oxon Run, Washington, DC, USA",,,28,72,mm,,,Semotilus bullaris,11,7645,7645,monthly,lotic,,abundance,percent,Crawford,1922,ScientificcontributionsoftheNewYorkZoologicalSociety,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl2,hand-entered b/c Able2Extract did not work,0,0,0,0,0,0,0,14,0,0,0,0,0,36,0,50,0,0
