site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,diatoms,filamentous algae,unidentified plant remains,Chaetopoda,Ephemeroptera_larvae,Plecoptera_larvae,Trichoptera_larvae,Coleoptera_larvae,Coleoptera_adult,Lepidoptera_larval,Diptera_adult,Hymenoptera_adult,Unidentified insects,Arichnida,Unidentified Debris
"Oxon Run, Washington, DC, USA",,,16,48,mm,,,Rhynichthys atronasus,31,20-Jan,20-Jan,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,0,0,0,10,3,11,0,0,2,0,0,1,53,1,19
"Oxon Run, Washington, DC, USA",,,20,28,mm,,,Rhynichthys atronasus,1,1-Feb,1-Feb,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"Oxon Run, Washington, DC, USA",,,16,56,mm,,,Rhynichthys atronasus,7,20-Mar,20-Mar,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,0,0,0,0,0,28,0,0,0,22,0,0,35,0,15
"Oxon Run, Washington, DC, USA",,,16,48,mm,,,Rhynichthys atronasus,25,20-Apr,20-Apr,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,0,0,0,0,0,0,16,0,4,0,4,0,64,0,12
"Oxon Run, Washington, DC, USA",,,24,48,mm,,,Rhynichthys atronasus,18,20-May,20-May,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,55,1,0,0,0,0,0,0,22,0,0,0,22,0,0
"Oxon Run, Washington, DC, USA",,,24,44,mm,,,Rhynichthys atronasus,4,20-Jun,20-Jun,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"Oxon Run, Washington, DC, USA",,,28,44,mm,,,Rhynichthys atronasus,24,20-Jul,20-Jul,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,1,1,1,0,0,0,0,0,0,0,0,0,86,0,11
"Oxon Run, Washington, DC, USA",,,24,48,mm,,,Rhynichthys atronasus,16,20-Sep,20-Sep,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,90,0,0,0,0,0,0,0,9,0,0,0,1,0,0
"Oxon Run, Washington, DC, USA",,,20,44,mm,,,Rhynichthys atronasus,21,20-Oct,20-Oct,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,57,1,0,0,0,0,0,0,4,0,0,0,33,0,5
"Oxon Run, Washington, DC, USA",,,20,48,mm,,,Rhynichthys atronasus,37,20-Nov,20-Nov,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl6,hand-entered b/c Able2Extract did not work,40,17,0,22,0,0,0,0,0,0,0,0,21,0,0
