site_name,lat,long,predator_min_length,predator_average_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling_interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Detritus,Algae,Protist_Rotifoer,Vegetation,Seeds,Microcrustaceans,Worms,Molluscs,Macrocrustaceans,Aquatic insects,Terrestrial arthropods,Fish_other,Perciformes,Clupeidae,Mugiliforms,Cypriniformes
"Lake Nokoue, Benin, West Africa",,,85,96,107,mm,standard,,Caranx hippos,2,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,150,154,207,mm,standard,,Chrysichthys nigrodigitatus,7,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),71,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,61,97,120,mm,standard,,Citharichthys stampflii,14,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),8,0.1,0,0,0,7,0,7,0,0,0,5,57,15,0,0
"Lake Nokoue, Benin, West Africa",,,261,301,325,mm,standard,,Cynoglossus senegalensis,3,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),44,0,0,0,0,0,0,11,44,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,90,139,190,mm,standard,,Eleotris senegalensis,6,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,90,174,225,mm,standard,,Elops lacerta,21,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),2,0,0,0,0,0,0,0,24,0,0,25,0,44,6,0
"Lake Nokoue, Benin, West Africa",,,79,100,125,mm,standard,,Epinephelus aeneus,4,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,49,0,0,51,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,55,95,118,mm,standard,,Ethmalosa fimbriata,46,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),74,6,13.1,0,0,1,0,0,7,1,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,67,94,119,mm,standard,,Gerres melanopterus,33,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,87,0,0,0,13,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,80,80,80,mm,standard,,Gerres nigri,1,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),4,0,10,0,0,72,13,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,90,98,120,mm,standard,,Hemichromis fasciatus,10,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),0,0,2,0,0,0,0,0,35,0,0,64,1,0,0,0
"Lake Nokoue, Benin, West Africa",,,162,167,170,mm,standard,,Liza dumerili,3,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),34,2,5,0,0,6,35,0,0,0,0,0,0,0,0,0
"Lake Nokoue, Benin, West Africa",,,90,141,220,mm,standard,,Liza falcipinnis,48,6/1/1994,9/1/1994,monthly,lentic,,volume,proportion,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_3,presumably results are an average of all collections (not explicitly stated in paper),69,24,0,0,0,1,2,0,1,1,0,0,0,0,0,0
