site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Ova/eggs,Nematoda,Mollusca,Physa  sp.,Insecta,Unidentifed  parts,Ephemeroptera,Collembola,Coleoptera,Lepidoptera,Hymenoptera,Hemiptera,Trichoptera,Diptera,Chironomidae  larvae
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,16,1-Jan,1-Jan,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,"Most fish had empty guts. Detritus and unidentified insects are not included b/c they were not enumerated. Instead, they were entered into the original table as freq occur. Length ranges are visually estimated from Fig 3. They represent only one range for all months",,,,,,3,,,,,,,,,1
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,13,1-Feb,1-Feb,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,2,,,,6,,28,,,,,,,6
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,15,1-Mar,1-Mar,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,22,,,,,7,,,,,,,3,,27
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,13,1-Apr,1-Apr,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,,,,,3,,,1,,,,,,91
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,15,1-May,1-May,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,,,2,,7,,,,,,,1,,21
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,17,1-Jun,1-Jun,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,,,,,8,5,,,,1,3,1,,47
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,22,1-Jul,1-Jul,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,,,,,10,13,,,,1,,,,1
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,16,1-Aug,1-Aug,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,,,,,4,,,,,,,,,
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,15,1-Sep,1-Sep,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,,,,,4,,,,,1,,,,
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,24,1-Oct,1-Oct,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,,,,,8,,,1,1,1,,,,
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,14,1-Nov,1-Nov,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,,,,,2,1,,,,,,,,1
"Moore Creek, Cherokee County, GA",,,20,65,mm,standard,,Notropis chrosomus,20,1-Dec,1-Dec,monthly,lotic,,abundance,total number in all guts,Holder,2010,Southeastern Naturalist,"Holder, D. S., & Powers, S. L. (2010). Life-history aspects of the rainbow shiner, Notropis chrosomus (Teleostei: Cyprinidae), in northern Georgia. Southeastern Naturalist, 9(2), 347-359.",tbl1,Most fish had empty guts,,,,,,2,1,,1,,,,,,2
