site_name,lat,long,predator_min_length,predator_max_length,predator_average_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,data_sorted_by,fish_id,notes,Algae (Unicell/Filament),Vegetal matter,Bacillariophyceae,Seeds,Nematoda,Terrestrial insects,Coleoptera (larvae),Diptera (larvae),Diptera (pupae),Trichoptera (larvae),Ephemeroptera (nymphs),Copepoda,Ostracoda,Gastropoda,Teleost/invertebrate eggs,Teleost,Organic matter (not identified),Silt / biofilm,Sand,Unidentified
"Gascoyne River, Australia",,,23,53,,mm,standard,small,Oreochromis mossambicus,14,10/1/2002,10/1/2002,lotic,,volume,percent,Maddern,2007,"Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.",tbl3,averaged across sizes,madddern_2007_tbl3_1,,5.1 ,3.8 ,1.0 ,0,0,2.3 ,1.3 ,19.5 ,0.1 ,0,43.6 ,0,1.5 ,0,0,0,2.7 ,12.4 ,4.4 ,2.4 
"Gascoyne River, Australia",,,165,198,,mm,standard,large,Oreochromis mossambicus,13,10/1/2002,10/1/2002,lotic,,volume,percent,Maddern,2007,"Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.",tbl3,averaged across sizes,madddern_2007_tbl3_1,,7.4 ,54.2 ,1.1 ,1.9 ,0,4.5 ,0,0,0,0,0,0,0.2 ,0,0,0,5.2 ,21.5 ,1.2 ,2.8 
"Gascoyne River, Australia",,,69,105,,mm,standard,,Leiopotherapon,11,10/1/2002,10/1/2002,lotic,,volume,percent,Maddern,2007,"Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.",tbl3,averaged across sizes,madddern_2007_tbl3_1,,0,2.1 ,0,4.6 ,0.1 ,27.5 ,0,36.2 ,5.1 ,1.3 ,0,0,12.5 ,0.3 ,0,7.0 ,0,0,0.6 ,2.8 
"Gascoyne River, Australia",,,94,110,,mm,standard,,Mugil cephalus,9,10/1/2002,10/1/2002,lotic,,volume,percent,Maddern,2007,"Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.",tbl3,averaged across sizes,madddern_2007_tbl3_1,,6.7 ,17.2 ,1.2 ,0,0.5 ,0,0,0,0,0,0,0,1.3 ,0,0,0,0,13.3 ,58.9 ,1.0 
"Gascoyne River, Australia",,,24,49,,mm,standard,,Hypseleotris compressa,11,10/1/2002,10/1/2002,lotic,,volume,percent,Maddern,2007,"Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.",tbl3,averaged across sizes,madddern_2007_tbl3_1,,7.7 ,0.9 ,0.2 ,0,0,1.0 ,0,35.4 ,1.1 ,11.0 ,14.9 ,0,11.2 ,2.5 ,0,0,7.3 ,2.9 ,0.8 ,3.2 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
