site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,data_sorted_by,sample_id,notes,diatoms,filamentous algae,unidentified plant remains,unsegmented worms,Chaetopoda,Ephemeroptera_larvae,Odonata_larvae,Plecoptera_larvae,Coleoptera_larvae,Coleoptera_adult,Diptera_larvae,Hymenoptera_adult,Unidentified insects,Acarida,Unidentified Debris
"Oxon Run, Washington, DC, USA",,,20,84,mm,,,Notropis cornutus,53,20-Mar,20-Mar,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,2,hand-entered b/c Able2Extract did not work,0,0,0,0,1,6,5,8,0,4,0,4,70,0,2
"Oxon Run, Washington, DC, USA",,,20,56,mm,,,Notropis cornutus,43,20-Apr,20-Apr,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,3,hand-entered b/c Able2Extract did not work,0,0,0,0,1,0,0,0,0,0,0,0,36,0,63
"Oxon Run, Washington, DC, USA",,,24,56,mm,,,Notropis cornutus,28,20-May,20-May,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,4,hand-entered b/c Able2Extract did not work,94,0,0,0,0,0,0,0,0,4,0,0,1,1,0
"Oxon Run, Washington, DC, USA",,,24,60,mm,,,Notropis cornutus,12,20-Sep,20-Sep,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,7,hand-entered b/c Able2Extract did not work,77,8,0,0,0,0,0,0,0,0,0,0,15,0,0
"Oxon Run, Washington, DC, USA",,,24,52,mm,,,Notropis cornutus,12,20-Oct,20-Oct,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,8,hand-entered b/c Able2Extract did not work,33,0,0,0,0,0,0,0,0,21,0,4,42,0,0
"Oxon Run, Washington, DC, USA",,,24,68,mm,,,Notropis cornutus,10,20-Nov,20-Nov,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,9,hand-entered b/c Able2Extract did not work,29,38,0,0,0,0,0,0,0,0,0,0,33,0,0
"Oxon Run, Washington, DC, USA",,,28,60,mm,,,Notropis cornutus,10,20-Jan,20-Jan,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,1,hand-entered b/c Able2Extract did not work,0,0,0,0,8,42,0,10,0,0,0,0,40,0,0
"Oxon Run, Washington, DC, USA",,,28,56,mm,,,Notropis cornutus,41,20-Jun,20-Jun,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,5,hand-entered b/c Able2Extract did not work,5,0,3,0,0,0,0,0,0,30,0,3,59,0,0
"Oxon Run, Washington, DC, USA",,,32,64,mm,,,Notropis cornutus,46,20-Jul,20-Jul,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,6,hand-entered b/c Able2Extract did not work,15,27,6,0,0,0,0,0,0,16,0,2,32,0,2
"Oxon Run, Washington, DC, USA",,,36,96,mm,,,Notropis cornutus,10,5-Dec,5-Dec,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl5,averaged over individuals within size groups within months,10,hand-entered b/c Able2Extract did not work,0,0,4,0,4,21,0,0,2,7,2,0,60,0,0
