site_name,lat,long,predator_min_length,predator_average_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling_interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Radix  peregra,Chironomid  larvae,Benthic  Crustacea,Plankton,Surface  food,Own  eggs,Undigestible  trash
"Lake Myvatn, S-basin",,,7,,,cm,,,Gasterosteus aculeatus,20,5/6/1973,5/6/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,62,16,,22,,
"Lake Myvatn, S-basin",,,7,,,cm,,,Gasterosteus aculeatus,32,6/20/1972,6/20/1972,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,55,28,15,1,,
"Lake Myvatn, S-basin",,,7,,,cm,,,Gasterosteus aculeatus,17,6/28/1973,6/28/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,69,9,,16,7,
"Lake Myvatn, S-basin",,,7,,,cm,,,Gasterosteus aculeatus,61,7/10/1973,7/10/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,54,36,,12,3,
"Lake Myvatn, S-basin",,,7,,,cm,,,Gasterosteus aculeatus,16,7/21/1973,8/16/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,66,34,,,,
"Lake Myvatn, S-basin",,,7,,,cm,,,Gasterosteus aculeatus,19,7/22/1972,7/22/1972,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,62,32,5,1,,
"Lake Myvatn, S-basin",,,7,,,cm,,,Gasterosteus aculeatus,16,7/16/1973,7/16/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,5,95,,,,
"Lake Myvatn, N-basin",,,7,,,cm,,,Gasterosteus aculeatus,11,9/30/1973,9/30/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,50,46,4,,,
"Lake Myvatn, N-basin",,,7,,,cm,,,Gasterosteus aculeatus,21,6/15/1973,6/15/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,4,36,,43,9,
"Lake Myvatn, E-basin",,,7,,,cm,,,Gasterosteus aculeatus,29,7/23/1972,7/23/1972,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,,85,15,,,,
"Lake Myvatn, N-basin",,,7,,,cm,,,Gasterosteus aculeatus,73,9/30/1972,9/30/1972,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,21,54,12,8,+,,+
"Lake Myvatn, N-basin",,,7,,,cm,,,Gasterosteus aculeatus,16,6/23/1973,6/23/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,8,34,1,,7,19,30
"Lake Myvatn, N-basin",,,7,,,cm,,,Gasterosteus aculeatus,11,7/4/1973,7/4/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,9,40,16,,20,10,5
"Lake Myvatn, N-basin",,,7,,,cm,,,Gasterosteus aculeatus,12,9/20/1973,9/20/1973,monthly,lentic,,volume,percent,Adalsteinsson,1979,Oikos,"Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.",table 2,,42,44,14,,,,
